code,emis_code,region,zone,woreda,school_name,rural,SubmissionDate,starttime,endtime,surveyday,deviceid,SEC0.2,repaced,SEC1.1,SEC1.2,SEC1.3,SEC1.3a,SEC1.4,SEC1.5,SEC1.6,SEC1.7,SEC1.8,SEC1.9,SEC1.10,SEC1.11,SEC1.12.1,SEC1.12.1_1,SEC1.12.1_2,SEC1.12.1_3,SEC1.12.1_4,SEC1.12.1_5,SEC1.12.1_7,SEC1.12.1_8,SEC1.12.1_9,SEC1.12.1_10,SEC1.12.1_97,SEC1.12.1_oth,SEC1.12.2,SEC1.12.2_1,SEC1.12.2_2,SEC1.12.2_3,SEC1.12.2_4,SEC1.12.2_5,SEC1.12.2_7,SEC1.12.2_8,SEC1.12.2_9,SEC1.12.2_10,SEC1.12.2_97,SEC1.12.2_oth,SEC1.12.3,SEC1.12.3_1,SEC1.12.3_2,SEC1.12.3_3,SEC1.12.3_4,SEC1.12.3_5,SEC1.12.3_7,SEC1.12.3_8,SEC1.12.3_9,SEC1.12.3_10,SEC1.12.3_97,SEC1.12.3_oth,SEC1.13,SEC1.14.1,SEC1.14.2,SEC1.15,SEC1.16.1,SEC1.16.2,SEC1.16.3,F5,F6,F7,F8,SEC2.total,SEC2.girls_total,SEC2.boys_total,SEC2.girls_math,SEC2.boys_math,SEC2.girls_eng,SEC2.boys_eng,SEC2.girls_lang,SEC2.boys_lang,gps_point-Latitude,gps_point-Longitude,gps_point-Altitude,gps_point-Accuracy,instanceID,formdef_version,KEY
1304846,New,SWEPR,Dawro,gussa city admin,okoto shasha,Urban,"12/20/2025, 7:23:03 PM","12/20/2025, 1:15:32 PM","12/20/2025, 7:11:00 PM",12/20/2025,7b083c6dbffcaebb,0,NA,0,0,1,0,0,0,1,1,0,4,0,0,2,0,1,0,0,0,0,0,0,0,0,NA,2,0,1,0,0,0,0,0,0,0,0,NA,2,0,1,0,0,0,0,0,0,0,0,NA,6,2:15:16,6:30:26,0,1,12:45:37,11:00:43,178,92,13,5,64.735,62.93,66.54,66.28,70.85,64.2,65.63,66.33,70.09,6.9967815,37.2575588,2200.6,4.9,uuid:7fe7bac5-4a67-43f4-992b-6abc7a659d08,2512142209,uuid:7fe7bac5-4a67-43f4-992b-6abc7a659d08
82362,S0401060022,OROMIA,Arsii Lixaa,dodolaa,tulluu seerofta,Rural,"12/10/2025, 6:46:29 PM","12/10/2025, 1:12:10 PM","12/10/2025, 5:48:09 PM",12/10/2025,78b63b5b10d7e676,0,NA,0,0,1,1,0,0,1,1,0,10,0,0,2,0,1,0,0,0,0,0,0,0,0,NA,2,0,1,0,0,0,0,0,0,0,0,NA,7,0,0,0,0,0,1,0,0,0,0,NA,14,2:00:15,6:15:16,0,1,6:30:40,11:15:41,870,378,10,6,94,92,96,71,76,62,64,80,85,6.85491,39.0339583,2785.7,5,uuid:6201f1c6-f975-4c5c-ac87-8bcff9e960a9,2512030705,uuid:6201f1c6-f975-4c5c-ac87-8bcff9e960a9
82870,S0401110142,OROMIA,Arsii Lixaa,nansaboo,amshiiqqaa qurxummii,Rural,"12/9/2025, 5:34:50 PM","12/9/2025, 11:44:48 AM","12/9/2025, 5:32:25 PM",12/9/2025,be940800bcbddadd,0,NA,0,0,1,1,0,0,1,0,1,8,0,0,2,0,1,0,0,0,0,0,0,0,0,NA,2,0,1,0,0,0,0,0,0,0,0,NA,2,0,1,0,0,0,0,0,0,0,0,NA,13,2:10:25,6:30:43,0,0,NA,NA,468,265,9,9,72.5,71,74,70,74,62,60,71,73,6.6552447,39.0785942,2654.4,1.1,uuid:78bf37e6-e6f5-4d24-8ee6-01707e5c984f,2512030705,uuid:78bf37e6-e6f5-4d24-8ee6-01707e5c984f
82926,S0401110232,OROMIA,Arsii Lixaa,nansaboo,tulluu leencaa,Rural,"12/8/2025, 6:38:46 PM","12/5/2025, 11:12:50 AM","12/8/2025, 12:11:09 PM",12/5/2025,6cd4eced41301dbb,0,NA,1,1,1,1,0,0,1,1,1,10,1,0,1 2,1,1,0,0,0,0,0,0,0,0,NA,1 2,1,1,0,0,0,0,0,0,0,0,NA,2,0,1,0,0,0,0,0,0,0,0,NA,17,2:00:40,6:15:02,0,1,6:30:07,11:05:25,621,278,19,17,74,72,76,68,71,62,67,69,73,6.7132053,39.0309414,2762.6,4.9,uuid:709cee65-b5e8-4d35-ae4b-667c72bd3bd2,2512030705,uuid:709cee65-b5e8-4d35-ae4b-667c72bd3bd2
83047,S0401130412,OROMIA,Arsii Lixaa,shaallaa,albulaa leencaa,Rural,"12/27/2025, 7:57:12 PM","12/27/2025, 11:11:03 AM","12/27/2025, 7:52:36 PM",12/27/2025,c7654ba83377bbd9,0,NA,0,0,0,NA,0,0,0,1,0,4,0,1,7,0,0,0,0,0,1,0,0,0,0,NA,7,0,0,0,0,0,1,0,0,0,0,NA,7,0,0,0,0,0,1,0,0,0,0,NA,6,2:00:38,6:15:43,0,1,6:30:58,10:45:05,756,358,8,5,61,54,68,55,55,55,55,55,55,7.3441017,38.307245,1809.4,4.6,uuid:11828637-ba1b-4962-a53d-f7343de485a5,2512142209,uuid:11828637-ba1b-4962-a53d-f7343de485a5
83143,S0401140352,OROMIA,Arsii Lixaa,shaashamannee,burraa,Rural,"12/5/2025, 2:05:20 PM","12/5/2025, 9:41:28 AM","12/5/2025, 1:19:16 PM",12/5/2025,6cd4eced41301dbb,0,NA,1,1,1,1,0,0,1,0,0,6,1,0,2 7,0,1,0,0,0,1,0,0,0,0,NA,1 2,1,1,0,0,0,0,0,0,0,0,NA,2,0,1,0,0,0,0,0,0,0,0,NA,9,2:00:49,6:15:03,1,1,6:30:19,10:45:30,1146,619,15,8,63,62,64,53,56,61,68,64,68,7.2597514,38.4882712,1662.6,4.9,uuid:1f6c99f2-9715-4480-8cf5-d1a46e87e14c,2512030705,uuid:1f6c99f2-9715-4480-8cf5-d1a46e87e14c
83169,S0401140602,OROMIA,Arsii Lixaa,shaashamannee,huursaa,Rural,"12/3/2025, 7:52:28 PM","12/3/2025, 10:50:04 AM","12/3/2025, 7:52:07 PM",12/3/2025,6cd4eced41301dbb,0,NA,1,0,1,1,1,0,1,1,0,15,0,0,1 2 7,1,1,0,0,0,1,0,0,0,0,NA,1,1,0,0,0,0,0,0,0,0,0,NA,2,0,1,0,0,0,0,0,0,0,0,NA,18,2:30:49,6:30:04,0,1,7:00:11,11:00:39,1319,606,24,10,58.5,56,61,49,54,52,49,62,66,7.0778606,38.7751831,2615.2,4.3,uuid:c0383434-e4cf-4eae-b2dd-e755abcb1b5c,2512030705,uuid:c0383434-e4cf-4eae-b2dd-e755abcb1b5c
83154,S0401140672,OROMIA,Arsii Lixaa,shaashamannee,diiree qarsoo,Rural,"12/4/2025, 4:30:22 PM","12/4/2025, 10:57:26 AM","12/4/2025, 2:12:00 PM",12/4/2025,6cd4eced41301dbb,0,NA,1,0,1,1,0,0,1,0,0,5,1,0,1 2,1,1,0,0,0,0,0,0,0,0,NA,1,1,0,0,0,0,0,0,0,0,0,NA,2,0,1,0,0,0,0,0,0,0,0,NA,10,2:00:44,6:15:01,0,1,6:30:43,10:45:54,972,474,10,7,46,43,49,36,30,34,36,41,51,7.1314649,38.793457,2681.4,4.7,uuid:f627b70f-8364-4b08-93b3-ab515c0b790a,2512030705,uuid:f627b70f-8364-4b08-93b3-ab515c0b790a
80068,S0402010092,OROMIA,Arsii,amiinyaa,malxoo halloo,Rural,"12/22/2025, 6:25:11 PM","12/22/2025, 10:31:33 PM","12/22/2025, 1:41:09 PM",12/22/2025,873699e5faed7492,0,NA,0,0,0,NA,0,0,1,0,0,8,0,0,2,0,1,0,0,0,0,0,0,0,0,NA,2,0,1,0,0,0,0,0,0,0,0,NA,2,0,1,0,0,0,0,0,0,0,0,NA,10,2:00:51,6:15:53,0,0,NA,NA,157,116,5,4,40,36,44,42,45,39,43,50,55,7.8820159,40.085229,1332.7,4.9,uuid:07affb41-d6c4-4560-a7ff-f412f349b917,2512142209,uuid:07affb41-d6c4-4560-a7ff-f412f349b917
80079,S0402010152,OROMIA,Arsii,amiinyaa,walee geetara,Rural,"12/20/2025, 8:02:04 AM","12/19/2025, 8:05:26 AM","12/20/2025, 7:43:43 AM",12/19/2025,873699e5faed7492,0,NA,0,0,1,0,0,0,1,0,1,5,0,0,2,0,1,0,0,0,0,0,0,0,0,NA,2,0,1,0,0,0,0,0,0,0,0,NA,2,0,1,0,0,0,0,0,0,0,0,NA,11,2:00:30,6:15:39,0,0,NA,NA,320,153,12,8,60,56,64,47,68,60,68,52,65,7.7888782,40.0163384,2519.8,4.9,uuid:5b552999-95af-404f-834b-e272d6b59fa2,2512142209,uuid:5b552999-95af-404f-834b-e272d6b59fa2
