code,emis_code,region,zone,woreda,school_name,rural,SubmissionDate,starttime,endtime,surveyday,deviceid,consent,respondent_code,note_no_consent,sex,role,a3_male,a3_female,total_principal,A4,a4_male,a4_female,A5,A6,A7,A8,A9,A10,a10_other,A11,A12,A13,A13_management,A13_in_service,A13_mentoring,A13_other,a13_other,A14,A15,A15_1,A15_2,A15_3,A15_4,A15_5,A15_97,A15_other,A16,A16_1,A16_2,A16_3,A16_4,A16_5,A16_6,A16_7,A16_8,A16_9,A16_97,A16_other,challenge_1,challenge_2,challenge_3,challenge_4,challenge_5,challenge_6,challenge_7,challenge_8,challenge_97,challenge_97_other,confidence_admin,confidence_finance,confidence_pedagogical,confidence_hr,confidence_parents,confidence_students,confidence_community,A20,time_task1,time_task1_oth,time_task2,time_task2_oth,time_task3,time_task3_other,B1,B2,B3,B3_1,B3_2,B3_3,B3_4,B3_5,B3_6,B3_7,B3_8,B3_97,B3_other,B4,B4_other,B5,B5_1,B5_2,B5_3,B5_4,B5_5,B5_6,B5_7,B5_8,B5_97,B5_other,B6_task1,B6_task1other,B6_task2,B6_task2other,B6_task3,B6_task3other,B7,B7_1,B7_2,B7_3,B7_4,B7_5,B7_6,B7_7,B7_8,B7_9,B7_97,B7_other,B8,B8_other,B9,B9_1,B9_2,B9_3,B9_4,B9_5,B9_6,B9_97,B9_other,B10,B10_1,B10_2,B10_3,B10_4,B10_5,B10_6,B10_97,B10_other,B11,B11_other,B12,B13,B13_1,B13_2,B13_3,B13_4,B13_5,B13_6,B13_7,B13_8,B13_9,B13_97,B13_other,B14,B14_other,B15,B15_1,B15_2,B15_3,B15_4,B15_97,B15_98,B15_other,lesson_plan,lesson_plan_o,assessment,assessment_o,participation,participation_o,discipline,discipline_o,homework,B17_other,language,maths,teaching,attentive,lesonplan,committed,trainingsuport,B19,B19_other,B20,B21,B21_1,B21_2,B21_3,B21_4,B21_5,B21_6,B21_7,B21_97,B21_other,challenges_1,B23_challege1_other,challenges_2,B23_challege2_other,challenges_3,B23_challege3_other,C1_1,C1_2,C1_3,C1_4,C1_5,C1_6,C1_7,C2,C3,C3_1,C3_2,C3_3,C3_4,C3_5,C3_6,C3_97,C3_other,C4,C4_other,C5,C6,C7,C7_1,C7_2,C7_3,C7_4,C7_5,C7_6,C7_97,C7_other,C8,C8_yes,C9,C10,C10_1,C10_2,C10_3,C10_4,C10_other,C11,C11_yes,C12_1,C12_2,C12_3,C12_4,C12_5,C13_1,C13_2,C13_5,C13_6,C14_1,C14_3,C14_4,D1_1,D1_2,D1_3,D1_4,D1_5,D1_6,D1_7,D1_8,D1_9,D1_10,D1_11,D1_12,D1_13,D2_1,D2_2,D2_3,D2_4,D2_5,D2_6,D2_7,D2_8,D2_9,D2_10,D3,D4,D5,D6,D7,D7_1,D7_2,D7_3,D7_4,D7_97,D7_999,D7_other,E1_1,E1_2,E1_3,E1_4,E1_5,E1_6,E1_7,E1_8,E1_9,E1_10,E1_11,E2_1,E2_2,E2_3,E2_4,E2_5,E3_1,E3_2,E3_4,E3_5,E3_6,E3_7,E4,E5_1,E5_2,E5_3,E5_4,E5_5,E5_6,E6,F1,F1_1,F1_2,F1_3,F1_4,F1_5,F1_6,F1_7,F1_8,F1_97,F1_other,F2a,F2b,F3,G1,instanceID,formdef_version,KEY
1304846,New,SWEPR,Dawro,gussa city admin,okoto shasha,Urban,"12/20/2025, 7:23:04 PM","12/20/2025, 12:29:46 PM","12/20/2025, 7:09:17 PM",12/20/2025,7b083c6dbffcaebb,1,HT29601,NA,female,principal,0,0,0,0,NA,NA,1994,2001,2013,2,1,5,NA,1,2008,in_service,0,1,0,0,NA,5,1 3,1,0,1,0,0,0,NA,3,0,0,1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,5,5,5,5,5,5,5,5,2,NA,1,NA,4,NA,1,1,7 8,0,0,0,0,0,0,1,1,0,NA,3,NA,3 4,0,0,1,1,0,0,0,0,0,NA,1,NA,3,NA,2,NA,9,0,0,0,0,0,0,0,0,1,0,NA,5,NA,1,1,0,0,0,0,0,0,NA,6,0,0,0,0,0,1,0,NA,6,NA,1,4,0,0,0,1,0,0,0,0,0,0,NA,4,NA,1 4,1,0,0,1,0,0,NA,2,NA,2,NA,2,NA,2,NA,2,No,4,3,3,4,3,3,4,5,NA,6,3,0,0,1,0,0,0,0,0,NA,5,NA,6,NA,2,NA,5,5,5,5,5,5,5,1,4,0,0,0,1,0,0,0,NA,2,NA,5,2,3 6,0,0,1,0,0,1,0,NA,1,2,0,NA,NA,NA,NA,NA,NA,0,NA,4,3,3,4,4,3,4,4,4,1,1,1,4,4,4,3,4,1,1,1,4,3,1,1,4,3,3,3,3,3,3,3,3,1,3,3,male,4,5,1 2,1,1,0,0,0,0,NA,3,3,3,3,3,3,3,3,3,3,3,4,1,4,4,4,1,1,1,4,1,1,3,1,1,1,4,3,3,2,1 3,1,0,1,0,0,0,0,0,0,NA,43,NA,17306,No comment,uuid:111e8f55-27be-4fee-88b3-6f2e1c69dcf1,2512142209,uuid:111e8f55-27be-4fee-88b3-6f2e1c69dcf1
82362,S0401060022,OROMIA,Arsii Lixaa,dodolaa,tulluu seerofta,Rural,"12/10/2025, 6:01:21 PM","12/10/2025, 1:05:40 PM","12/10/2025, 6:14:08 PM",12/10/2025,6cd4eced41301dbb,1,HT24201,NA,female,principal,0,1,1,1,1,0,2002,2015,2016,2,6,5,NA,0,NA,NA,NA,NA,NA,NA,NA,1,2 3 4,0,1,1,1,0,0,NA,1,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,4,4,4,5,4,4,3,5,1,NA,2,NA,5,NA,1,2,1 3 4,1,0,1,1,0,0,0,0,0,NA,3,NA,4 6,0,0,0,1,0,1,0,0,0,NA,3,NA,1,NA,5,NA,2,0,1,0,0,0,0,0,0,0,0,NA,5,NA,1,1,0,0,0,0,0,0,NA,2 5,0,1,0,0,1,0,0,NA,4,NA,1,2 3 4,0,1,1,1,0,0,0,0,0,0,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,NA,1,NA,2,NA,1,Hin jiru,4,4,3,3,3,3,4,4,NA,6,2 3,0,1,1,0,0,0,0,0,NA,5,NA,6,NA,2,NA,5,5,4,5,5,5,4,1,3 4,0,0,1,1,0,0,0,NA,2,NA,4,2,2 3,0,1,1,0,0,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,0,NA,4,4,3,3,4,4,4,1,4,2,2,2,2,4,1,3,4,1,4,3,4,4,1,1,2,3,3,3,1,2,2,2,1,1,2,3,male,4,2,1 3 4,1,0,1,1,0,0,NA,3,3,2,3,3,3,3,3,3,3,3,3,1,2,2,4,3,3,1,3,1,2,3,1,2,1,4,3,3,1,1 3 4,1,0,1,1,0,0,0,0,0,NA,35,NA,16248,Hanqina barsiisaa fi hanqinna meeshaalee barnootaa kan akka kompitara labtop fkkf.,uuid:c3aa4223-2db2-4314-b713-d30bb8d1e8bd,2512031638,uuid:c3aa4223-2db2-4314-b713-d30bb8d1e8bd
82870,S0401110142,OROMIA,Arsii Lixaa,nansaboo,amshiiqqaa qurxummii,Rural,"12/9/2025, 6:48:35 PM","12/9/2025, 8:43:58 AM","12/9/2025, 11:20:26 AM",12/9/2025,6cd4eced41301dbb,1,HT20201,NA,male,principal,1,0,1,1,1,0,1996,1998,2014,4,6,5,NA,1,2014,management mentoring,1,0,1,0,NA,2,2 3 4,0,1,1,1,0,0,NA,1 2,1,1,0,0,0,0,0,0,0,0,NA,0,1,0,0,0,0,0,0,0,NA,5,5,5,5,4,5,5,5,2,NA,1,NA,5,NA,1,2,1 2 6,1,1,0,0,0,1,0,0,0,NA,3,NA,4 6,0,0,0,1,0,1,0,0,0,NA,3,NA,5,NA,1,NA,8,0,0,0,0,0,0,0,1,0,0,NA,1,NA,1,1,0,0,0,0,0,0,NA,2 6,0,1,0,0,0,1,0,NA,4,NA,1,3 4 6,0,0,1,1,0,1,0,0,0,0,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,2,NA,1,Hin jiru,4,3,4,3,4,4,4,4,NA,6,2 3,0,1,1,0,0,0,0,0,NA,5,NA,6,NA,8,NA,5,5,4,5,5,5,5,1,3,0,0,1,0,0,0,0,NA,2,NA,3,2,2 3 6,0,1,1,0,0,1,0,NA,1,1,0,NA,NA,NA,NA,NA,NA,0,NA,4,3,3,4,3,4,4,1,4,2,1,2,1,4,1,2,4,1,4,2,4,4,1,1,3,3,3,3,3,3,3,3,3,1,3,1,male,3,3,1 2 4,1,1,0,1,0,0,NA,2,2,2,3,3,3,3,3,3,3,3,3,1,3,3,3,1,1,1,4,1,1,3,1,3,3,3,2,3,1,1 2 6,1,1,0,0,0,1,0,0,0,NA,46,NA,16246,"Humna dhabuu hawaasa naannootiif manni baruumsaa haaromuu dhabuu, akkasuma hanqinna barsiisotaa",uuid:08259b4b-1ebe-4354-995f-ea1ad75e7796,2512031638,uuid:08259b4b-1ebe-4354-995f-ea1ad75e7796
82926,S0401110232,OROMIA,Arsii Lixaa,nansaboo,tulluu leencaa,Rural,"12/8/2025, 6:38:47 PM","12/8/2025, 12:11:15 PM","12/8/2025, 1:17:04 PM",12/8/2025,6cd4eced41301dbb,1,HT20301,NA,male,principal,1,0,1,2,1,1,2002,2006,2017,5,1,5,NA,0,NA,NA,NA,NA,NA,NA,NA,1,2 3 4,0,1,1,1,0,0,NA,1 2,1,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,1,0,1,0,0,NA,5,5,5,4,5,5,5,5,1,NA,2,NA,5,NA,1,2,1 3 6,1,0,1,0,0,1,0,0,0,NA,3,NA,4 6,0,0,0,1,0,1,0,0,0,NA,1,NA,6,NA,4,NA,3,0,0,1,0,0,0,0,0,0,0,NA,5,NA,1,1,0,0,0,0,0,0,NA,2 6,0,1,0,0,0,1,0,NA,4,NA,1,2 4 5,0,1,0,1,1,0,0,0,0,0,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,NA,1,NA,2,NA,1,Hin jiru,4,4,4,4,4,4,4,4,NA,5,1 2,1,1,0,0,0,0,0,0,NA,6,NA,5,NA,3,NA,4,4,4,4,4,3,5,1,2 3 4,0,1,1,1,0,0,0,NA,3,NA,4,2,3 6,0,0,1,0,0,1,0,NA,1,3,0,NA,NA,NA,NA,NA,NA,0,NA,3,3,3,4,4,4,4,1,3,2,1,1,1,4,1,3,4,1,4,3,4,4,1,1,2,3,3,3,3,2,2,2,1,1,2,3,male,3,2,1 2 4,1,1,0,1,0,0,NA,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,4,3,2,1,4,1,1,3,1,3,3,4,2,2,1,1 4 7,1,0,0,1,0,0,1,0,0,NA,40,NA,16285,Hin jiru,uuid:a7e4f233-106e-4400-ad13-da49d982addc,2512031638,uuid:a7e4f233-106e-4400-ad13-da49d982addc
82926,S0401110232,OROMIA,Arsii Lixaa,nansaboo,tulluu leencaa,Rural,"12/8/2025, 6:43:15 PM","12/8/2025, 12:18:31 PM","12/8/2025, 6:40:10 PM",12/8/2025,78b63b5b10d7e676,1,HT20302,NA,female,vice_principal,1,0,1,2,1,1,2005,2012,2012,1,2,2,NA,0,NA,NA,NA,NA,NA,NA,NA,5,1,1,0,0,0,0,0,NA,4 5,0,0,0,1,1,0,0,0,0,0,NA,0,0,1,0,0,1,0,0,0,NA,5,4,5,5,5,5,4,4,2,NA,5,NA,3,NA,1,2,2 3,0,1,1,0,0,0,0,0,0,NA,3,NA,6 8,0,0,0,0,0,1,0,1,0,NA,1,NA,3,NA,6,NA,7,0,0,0,0,0,0,1,0,0,0,NA,2,NA,1,1,0,0,0,0,0,0,NA,5 6,0,0,0,0,1,1,0,NA,1,NA,1,2 4 5,0,1,0,1,1,0,0,0,0,0,NA,4,NA,4,0,0,0,1,0,0,NA,3,NA,2,NA,1,NA,2,NA,1,Hin jiru,3,4,4,4,3,3,4,2,NA,6,3,0,0,1,0,0,0,0,0,NA,4,NA,2,NA,5,NA,5,4,5,4,5,5,5,2,2 4,0,1,0,1,0,0,0,NA,3,NA,1,2,97,0,0,0,0,0,0,1,Galmee baratotaf,1,1,0,NA,NA,NA,NA,NA,NA,0,NA,4,3,2,1,4,4,4,4,4,1,3,3,4,4,4,4,3,3,4,3,4,2,3,4,4,2,1,3,3,3,1,1,1,1,1,1,male,3,3,1 2 4 97,1,1,0,1,1,0,"Ademsa barruf barsisuu, foyansa   qabxi baratota",3,3,3,3,3,3,3,3,3,3,2,4,3,4,4,3,4,3,3,4,2,3,3,1,4,4,2,4,3,1,5,0,0,0,0,1,0,0,0,0,NA,39,NA,15000,Rakkoo fayya na qunamee ture,uuid:045628cc-0e5f-41fd-bd0b-3750640afc41,2512031638,uuid:045628cc-0e5f-41fd-bd0b-3750640afc41
83047,S0401130412,OROMIA,Arsii Lixaa,shaallaa,albulaa leencaa,Rural,"12/27/2025, 7:57:11 PM","12/27/2025, 12:43:26 PM","12/27/2025, 7:52:57 PM",12/27/2025,c7654ba83377bbd9,1,HT22201,NA,male,principal,1,0,1,0,NA,NA,2008,2017,2017,1,6,2,NA,0,NA,NA,NA,NA,NA,NA,NA,5,1,1,0,0,0,0,0,NA,4,0,0,0,1,0,0,0,0,0,0,NA,1,1,1,1,0,0,0,1,0,NA,4,5,5,5,5,5,5,5,2,NA,1,NA,5,NA,1,1,1 7 8,1,0,0,0,0,0,1,1,0,NA,3,NA,2 4,0,1,0,1,0,0,0,0,0,NA,7,NA,5,NA,1,NA,1 2,1,1,0,0,0,0,0,0,0,0,NA,6,Waldaa barsiisaa,1 5,1,0,0,0,1,0,0,NA,2 6,0,1,0,0,0,1,0,NA,6,NA,1,5 7,0,0,0,0,1,0,1,0,0,0,NA,4,NA,1 2,1,1,0,0,0,0,NA,3,NA,3,NA,3,NA,3,NA,3,None,4,3,4,4,3,4,4,3,NA,6,4,0,0,0,1,0,0,0,0,NA,5,NA,1,NA,6,NA,3,3,3,4,5,5,5,1,4,0,0,0,1,0,0,0,NA,2,NA,5,3,97,0,0,0,0,0,0,1,Harcaatiin barataa yoo uumame,1,1,1,1 2 3 4,1,1,1,1,Keele leader,0,NA,4,4,4,4,4,3,4,4,4,1,1,1,3,4,4,3,4,4,4,3,4,4,4,1,1,2,1,3,1,1,1,1,2,1,2,3,male,4,3,1 97,1,0,0,0,1,0,Harcaatii barataa,2,2,2,2,2,1,2,2,1,2,2,4,1,4,4,1,4,4,1,4,3,1,3,1,1,1,3,1,4,2,2 3 4 5 6 7 8,0,1,1,1,1,1,1,1,0,NA,30,NA,10200,"1/Hanqina Barsiisaa 
2/Hanqina Daree",uuid:9f6b107a-8981-4d75-9dfe-085cb26bd040,2512142209,uuid:9f6b107a-8981-4d75-9dfe-085cb26bd040
83143,S0401140352,OROMIA,Arsii Lixaa,shaashamannee,burraa,Rural,"12/5/2025, 2:05:21 PM","12/5/2025, 10:18:29 AM","12/5/2025, 1:59:06 PM",12/5/2025,6cd4eced41301dbb,1,HT22301,NA,female,principal,0,1,1,1,0,1,2007,2010,2012,2,5,5,NA,0,NA,NA,NA,NA,NA,NA,NA,4,1 3 4,1,0,1,1,0,0,NA,1 2 5,1,1,0,0,1,0,0,0,0,0,NA,0,0,0,0,0,0,1,0,0,NA,5,5,5,5,4,5,5,5,2,NA,1,NA,4,NA,1,2,1 2 3,1,1,1,0,0,0,0,0,0,NA,3,NA,3 4,0,0,1,1,0,0,0,0,0,NA,1,NA,3,NA,5,NA,4,0,0,0,1,0,0,0,0,0,0,NA,5,NA,1,1,0,0,0,0,0,0,NA,2 5 6,0,1,0,0,1,1,0,NA,4,NA,1,2 4 5,0,1,0,1,1,0,0,0,0,0,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,2,NA,1,NA,3,NA,2,Hin jiru,4,3,4,3,4,4,4,4,NA,5,1 2 3,1,1,1,0,0,0,0,0,NA,6,NA,5,NA,8,NA,5,5,4,3,5,4,4,1,2 4 5,0,1,0,1,1,0,0,NA,3,NA,3,2,3 6,0,0,1,0,0,1,0,NA,1,1,0,NA,NA,NA,NA,NA,NA,0,NA,4,4,3,3,4,4,4,1,4,1,1,1,3,3,3,2,4,3,3,3,4,4,1,1,2,3,3,3,2,3,2,3,2,1,3,1,female,3,3,1 3,1,0,1,0,0,0,NA,1,3,2,3,3,3,3,3,3,3,3,3,1,1,1,3,3,2,1,4,1,1,1,2,3,4,3,3,2,1,1 3 7,1,0,1,0,0,0,1,0,0,NA,31,NA,16519,"Hanqina baajetaa, hanqinna barsiisaa fi dareewwan barnootaa dabalataa dhabuu fi akkasuma mana kitaabaa fi mana kompiitaraa!",uuid:85736ca2-1a43-4c0d-94d5-fba3ee5fcb38,2512031638,uuid:85736ca2-1a43-4c0d-94d5-fba3ee5fcb38
83143,S0401140352,OROMIA,Arsii Lixaa,shaashamannee,burraa,Rural,"12/5/2025, 5:42:31 PM","12/5/2025, 10:09:24 AM","12/5/2025, 5:39:00 PM",12/5/2025,78b63b5b10d7e676,1,HT22302,NA,female,vice_principal,0,0,0,1,0,1,2014,2015,2015,1,6,5,NA,0,NA,NA,NA,NA,NA,NA,NA,5,1,1,0,0,0,0,0,NA,4 7,0,0,0,1,0,0,1,0,0,0,NA,0,0,1,0,0,0,0,0,0,NA,5,3,5,4,4,5,4,5,2,NA,7,NA,5,NA,1,2,1 3,1,0,1,0,0,0,0,0,0,NA,3,NA,4 6,0,0,0,1,0,1,0,0,0,NA,1,NA,6,NA,4,NA,5,0,0,0,0,1,0,0,0,0,0,NA,2,NA,1,1,0,0,0,0,0,0,NA,2 5,0,1,0,0,1,0,0,NA,6,NA,1,1 2 3 4 5 6,1,1,1,1,1,1,0,0,0,0,NA,4,NA,2 4,0,1,0,1,0,0,NA,2,NA,1,NA,2,NA,2,NA,2,Hin jiru,3,3,3,4,4,3,4,3,NA,6,3,0,0,1,0,0,0,0,0,NA,97,Hanqina bayina barsisota,5,NA,6,NA,5,5,3,5,5,4,4,1,4,0,0,0,1,0,0,0,NA,4,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,NA,NA,NA,NA,NA,NA,0,NA,4,3,3,1,3,3,4,2,4,1,1,1,1,1,4,2,4,2,3,3,4,1,1,3,3,3,3,3,3,3,1,3,2,2,3,3,male,2,2,1 2 3 4,1,1,1,1,0,0,NA,3,3,3,2,2,3,2,3,3,3,3,3,1,3,4,4,3,1,1,4,2,2,3,2,4,4,2,4,2,1,4 5,0,0,0,1,1,0,0,0,0,NA,27,NA,12300,Yadaa dabalata hin qabu,uuid:b22a7bd2-f36a-47bb-8c99-16785eb0c0cf,2512031638,uuid:b22a7bd2-f36a-47bb-8c99-16785eb0c0cf
83169,S0401140602,OROMIA,Arsii Lixaa,shaashamannee,huursaa,Rural,"12/3/2025, 5:34:46 PM","12/3/2025, 11:55:52 AM","12/3/2025, 2:42:40 PM",12/3/2025,6cd4eced41301dbb,1,HT22501,NA,male,vice_principal,0,1,1,2,2,0,2007,2015,2017,2,6,5,NA,0,NA,NA,NA,NA,NA,NA,NA,5,1 2 3,1,1,1,0,0,0,NA,1 2,1,1,0,0,0,0,0,0,0,0,NA,0,0,0,1,0,0,1,0,0,NA,5,3,5,5,4,5,4,4,2,NA,1,NA,5,NA,1,1,1 2 4,1,1,0,1,0,0,0,0,0,NA,3,NA,4 5,0,0,0,1,1,0,0,0,0,NA,1,NA,3,NA,6,NA,4 5,0,0,0,1,1,0,0,0,0,0,NA,5,NA,1,1,0,0,0,0,0,0,NA,2 5,0,1,0,0,1,0,0,NA,6,NA,1,2 3 4,0,1,1,1,0,0,0,0,0,0,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,NA,1,NA,3,NA,1,Hin jiru,4,4,3,3,3,3,4,3,NA,5,7,0,0,0,0,0,0,1,0,NA,2,NA,1,NA,5,NA,4,4,3,3,4,4,3,2,3 4 5,0,0,1,1,1,0,0,NA,2,NA,2,2,3 6,0,0,1,0,0,1,0,NA,1,1,0,NA,NA,NA,NA,NA,NA,0,NA,3,2,2,1,4,2,4,1,4,1,2,1,3,3,3,3,4,4,3,3,4,3,3,3,3,2,2,2,1,2,1,2,1,1,2,2,male,3,5,1 2 3 4,1,1,1,1,0,0,NA,1,2,3,3,3,3,3,3,3,3,3,1,1,1,1,4,4,3,1,4,1,1,3,1,2,1,4,1,4,1,4 5,0,0,0,1,1,0,0,0,0,NA,31,NA,15296,Lack of training and lack of Financial,uuid:978aceed-6bb8-4f3d-a8e0-f404d23d214d,2512030638,uuid:978aceed-6bb8-4f3d-a8e0-f404d23d214d
83169,S0401140602,OROMIA,Arsii Lixaa,shaashamannee,huursaa,Rural,"12/4/2025, 10:21:29 AM","12/3/2025, 7:35:08 PM","12/4/2025, 10:21:20 AM",12/3/2025,78b63b5b10d7e676,1,HT22501,NA,female,principal,0,0,0,1,1,0,1999,2016,2016,1,3,5,NA,1,2017,in_service,0,1,0,0,NA,1,1,1,0,0,0,0,0,NA,1 4,1,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,1,0,0,0,NA,4,4,5,5,4,5,5,5,2,NA,5,NA,1,NA,1,1,1 3 6,1,0,1,0,0,1,0,0,0,NA,3,NA,2 4,0,1,0,1,0,0,0,0,0,NA,1,NA,6,NA,3,NA,7 9,0,0,0,0,0,0,1,0,1,0,NA,1,NA,1,1,0,0,0,0,0,0,NA,5 6,0,0,0,0,1,1,0,NA,6,NA,1,3 4 5,0,0,1,1,1,0,0,0,0,0,NA,4,NA,4,0,0,0,1,0,0,NA,3,NA,2,NA,1,NA,1,NA,1,Hin jiru,3,4,4,4,4,4,3,4,NA,5,3,0,0,1,0,0,0,0,0,NA,5,NA,8,NA,4,NA,5,5,4,5,5,4,5,2,4,0,0,0,1,0,0,0,NA,3,NA,3,2,4,0,0,0,1,0,0,0,NA,1,1,1,1,1,0,0,0,NA,0,NA,4,4,4,1,4,2,4,2,3,2,1,1,1,4,2,4,3,2,4,2,3,1,1,2,3,2,3,2,3,3,2,2,3,1,2,1,male,3,4,2 3 4,0,1,1,1,0,0,NA,3,3,3,3,3,3,3,2,3,3,3,1,1,1,1,4,1,1,1,4,3,1,3,2,4,4,3,3,2,1,5,0,0,0,0,1,0,0,0,0,NA,32,NA,15000,Amma hin jiru,uuid:21bf8f24-4633-4998-acad-2d474e21a1c0,2512031459,uuid:21bf8f24-4633-4998-acad-2d474e21a1c0
