code,emis_code,region,zone,woreda,school_name,SubmissionDate,starttime,endtime,surveyday,deviceid,assent,student_id,note_no_consent,A1,A2,A3,A4,A5,A6,A6_1,A6_2,A6_3,A6_4,A6_5,A6_6,A6_7,A6_97,A6_other,A7,A8,A9,A9_1,A9_2,A9_97,A9_other,A10_1,A10_2,A10_3,A10_4,A10_5,A10_6,A11,B1_1,B1_2,B1_3,B2,B3,B4,B5_1,B5_2,B5_3,B5_4,B5_5,B5_6,B5_7,B5_8,B6,B7_1,B7_2,B7_3,B8_1,B8_2,B8_3,B8_4,B8_5,B8_6,B8_7,B8_8,B9_1,B9_2,B9_3,B9_4,B9_5,B9_6,B10,B10_1,B10_2,B10_3,B10_4,B10_5,B10_6,B10_97,B10_other,B11,B12_1,B12_2,B12_3,B12_4,B12_5,B12_6,C1,C2,C2_1,C2_2,C2_3,C2_4,C2_5,C2_6,C2_7,C2_8,C2_97,C2_otherfamily,C2_other,C3_1,C3_2,C3_3,C3_4,C3_5,C3_6,C3_9,C4,C5_1,C5_2,C5_3,C5_4,C5_5,C5_6,C6,D1,D2,D3,D4_1,D4_2,D4_3,D4_4,D4_5,D4_6,D4_7,D4_8,D4_9,D4_10,D5,D6,D7,D8,D9,D10_1,D10_2,E1,E2,E2_1,E2_2,E2_3,E2_4,E2_5,E2_6,E2_7,E2_8,E2_97,E2_other,E3_1,E3_2,E3_3,instanceID,formdef_version,KEY,consentgroup[1]/SectionC[1]/C3[1]/C3_7,consentgroup[1]/SectionC[1]/C3[1]/C3_8,consentgroup[1]/SectionB[1]/B9[1]/B9_7,consentgroup[1]/SectionC[1]/C7,consentgroup[1]/SectionE[1]/E4[1]/E4_1,consentgroup[1]/SectionE[1]/E4[1]/E4_2,consentgroup[1]/SectionE[1]/E4[1]/E4_3,consentgroup[1]/SectionE[1]/E4[1]/E4_4,consentgroup[1]/SectionE[1]/E4[1]/E4_5,consentgroup[1]/SectionE[1]/E5[1]/E5_1,consentgroup[1]/SectionE[1]/E5[1]/E5_2,consentgroup[1]/SectionE[1]/E5[1]/E5_3,consentgroup[1]/SectionE[1]/E6[1]/E6_1,consentgroup[1]/SectionE[1]/E6[1]/E6_2,consentgroup[1]/SectionE[1]/E6[1]/E6_3,consentgroup[1]/SectionE[1]/E6[1]/E6_4,consentgroup[1]/SectionE[1]/E6[1]/E6_5,consentgroup[1]/SectionE[1]/E7[1]/E7_1,consentgroup[1]/SectionE[1]/E7[1]/E7_2,consentgroup[1]/SectionE[1]/E7[1]/E7_3,consentgroup[1]/SectionE[1]/E7[1]/E7_4,consentgroup[1]/SectionE[1]/E7[1]/E7_5,consentgroup[1]/SectionE[1]/E7[1]/E7_6
1304846,New,SWEPR,Dawro,gussa city admin,okoto shasha,"12/20/2025, 7:23:04 PM","12/20/2025, 9:57:54 AM","12/20/2025, 7:16:34 PM",12/20/2025,7b083c6dbffcaebb,1,S29605,NA,1,12,3,1,9,1 2 7 97,1,1,0,0,0,0,1,1,Cousin,5,1,1,1,0,0,NA,5,5,5,5,5,5,5,5,5,5,1,4,3,5,5,5,4,5,5,5,1,2,0,0,0,5,5,5,1,5,5,5,5,5,5,5,5,5,5,1 2,1,1,0,0,0,0,0,NA,1,1,5,5,1,5,1,1,3,0,0,1,0,0,0,0,0,0,NA,NA,4,5,2,5,1,5,5,3,5,1,4,2,1,1,3,1,0,NA,1,1,1,1,1,0,0,0,0,1,1,2,1,1,3,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,uuid:cfccc6d2-0537-481a-aa55-cb07cb197dd4,2512142208,uuid:cfccc6d2-0537-481a-aa55-cb07cb197dd4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1304846,New,SWEPR,Dawro,gussa city admin,okoto shasha,"12/20/2025, 7:23:04 PM","12/20/2025, 10:32:21 AM","12/20/2025, 7:18:57 PM",12/20/2025,7b083c6dbffcaebb,1,S29606,NA,1,12,3,1,9,1 2 7,1,1,0,0,0,0,1,0,NA,6,2,97,0,0,1,No one,5,5,5,5,5,5,5,5,5,5,2,4,4,5,5,5,1,5,5,5,1,1,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,0,1,0,0,0,0,0,NA,1,1,5,5,1,5,1,1,8,0,0,0,0,0,0,0,1,0,Uncle,NA,5,5,1,5,1,5,5,3,5,2,5,1,2,2,3,1,0,NA,1,1,1,1,1,0,0,0,0,1,2,1,1,1,2,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,uuid:b6efa6ae-dcf1-452a-a3a0-767a3ccb2759,2512142208,uuid:b6efa6ae-dcf1-452a-a3a0-767a3ccb2759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1304846,New,SWEPR,Dawro,gussa city admin,okoto shasha,"12/20/2025, 7:23:05 PM","12/20/2025, 11:00:40 AM","12/20/2025, 7:21:22 PM",12/20/2025,7b083c6dbffcaebb,1,S29607,NA,2,14,3,1,11,1 2 7,1,1,0,0,0,0,1,0,NA,8,1,97,0,0,1,No one,3,5,4,5,5,4,5,4,3,5,1,4,3,5,5,4,1,5,3,3,1,0,0,0,0,5,5,1,1,5,5,5,5,4,5,5,3,5,5,1,1,0,0,0,0,0,0,NA,1,1,5,4,2,4,1,1,8,0,0,0,0,0,0,0,1,0,Uncle,NA,4,4,5,5,1,5,5,3,4,1,4,1,1,1,3,1,0,NA,0,1,1,0,1,0,0,0,0,1,3,1,2,0,3,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,uuid:2474b545-b92d-46ee-801c-374c73d42f4b,2512142208,uuid:2474b545-b92d-46ee-801c-374c73d42f4b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1304846,New,SWEPR,Dawro,gussa city admin,okoto shasha,"12/20/2025, 7:23:05 PM","12/20/2025, 11:30:26 AM","12/20/2025, 7:22:44 PM",12/20/2025,7b083c6dbffcaebb,1,S29608,NA,2,12,3,2,8,97,0,0,0,0,0,0,0,1,"Aunt,  cousin",4,2,97,0,0,1,Cousin,5,5,5,5,5,5,5,5,5,5,1,4,4,5,5,3,1,4,4,5,1,0,0,0,0,5,5,4,1,5,5,5,5,5,4,5,5,5,5,1 2,1,1,0,0,0,0,0,NA,1,1,5,5,1,5,1,1,3,0,0,1,0,0,0,0,0,0,NA,NA,5,5,1,5,1,5,5,3,5,1,4,1,1,1,3,NA,NA,999,0,1,1,1,0,0,0,0,0,1,1,1,0,0,3,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,uuid:53176097-2243-4ef5-af81-9a0b806f5198,2512142208,uuid:53176097-2243-4ef5-af81-9a0b806f5198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1304846,New,SWEPR,Dawro,gussa city admin,okoto shasha,"12/20/2025, 11:24:44 PM","12/20/2025, 3:54:18 AM","12/20/2025, 5:27:11 PM",12/20/2025,9103e136556fc552,1,S29601,NA,1,12,3,1,10,1 2 7,1,1,0,0,0,0,1,0,NA,7,3,1,1,0,0,NA,5,5,5,5,5,4,5,5,5,5,2,4,3,5,5,5,1,5,5,5,1,0,0,0,0,5,4,3,1,5,5,1,1,4,4,4,5,5,4,1 2,1,1,0,0,0,0,0,NA,1,1,5,4,1,4,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,4,5,1,5,5,3,5,1,5,1,1,1,3,1,0,NA,0,1,1,1,1,0,0,0,0,1,2,1,2,1,3,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,uuid:8a42799a-61cf-4880-902d-8707e357a111,2512142208,uuid:8a42799a-61cf-4880-902d-8707e357a111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1304846,New,SWEPR,Dawro,gussa city admin,okoto shasha,"12/20/2025, 11:24:44 PM","12/20/2025, 4:15:57 AM","12/20/2025, 5:27:16 PM",12/20/2025,9103e136556fc552,1,S29602,NA,2,12,3,1,8,1 2 7,1,1,0,0,0,0,1,0,NA,5,3,97,0,0,1,Nobody,5,4,5,5,4,3,5,5,5,5,2,4,4,5,5,5,1,5,4,5,1,1,0,0,0,5,1,4,1,5,5,5,5,4,4,5,5,5,3,1 4,1,0,0,1,0,0,0,NA,1,1,4,4,1,5,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,1,5,1,5,5,3,5,1,5,1,1,1,3,1,0,NA,0,1,1,1,1,0,0,0,0,1,2,1,1,0,3,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,uuid:93a5207f-14cc-4f9b-a156-ec5e27188801,2512142208,uuid:93a5207f-14cc-4f9b-a156-ec5e27188801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1304846,New,SWEPR,Dawro,gussa city admin,okoto shasha,"12/20/2025, 11:24:45 PM","12/20/2025, 4:42:57 AM","12/20/2025, 5:27:20 PM",12/20/2025,9103e136556fc552,1,S29603,NA,1,12,3,1,8,1 2 7,1,1,0,0,0,0,1,0,NA,5,3,2,0,1,0,NA,5,5,4,5,4,4,5,5,5,5,1,4,4,5,5,5,1,4,4,5,1,0,0,0,0,5,4,5,1,5,5,5,5,4,4,5,5,5,4,1 2,1,1,0,0,0,0,0,NA,1,1,5,4,1,4,1,1,4,0,0,0,1,0,0,0,0,0,NA,NA,5,1,4,5,1,5,5,3,5,1,4,1,1,1,3,1,0,NA,1,1,1,1,1,0,1,0,0,1,2,1,2,0,3,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,uuid:ce02f74f-a8f8-4e2f-91c7-c17bb1bf31ed,2512142208,uuid:ce02f74f-a8f8-4e2f-91c7-c17bb1bf31ed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1304846,New,SWEPR,Dawro,gussa city admin,okoto shasha,"12/20/2025, 11:24:45 PM","12/20/2025, 5:00:23 AM","12/20/2025, 5:27:24 PM",12/20/2025,9103e136556fc552,1,S29604,NA,2,12,3,1,6,1 2 7,1,1,0,0,0,0,1,0,NA,3,3,1 2,1,1,0,NA,5,4,4,4,5,4,5,5,5,5,3,4,4,5,5,5,1,5,4,5,1,1,0,0,0,5,4,5,1,5,5,2,2,4,4,4,5,5,4,1 4,1,0,0,1,0,0,0,NA,1,1,4,4,1,4,1,1,4,0,0,0,1,0,0,0,0,0,NA,NA,5,2,4,3,1,4,5,3,5,1,4,1,1,1,3,1,0,NA,0,1,1,1,1,0,0,0,0,1,1,1,2,0,3,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,uuid:a2d2a3e5-5fef-44ca-b820-bee028ae127c,2512142208,uuid:a2d2a3e5-5fef-44ca-b820-bee028ae127c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82362,S0401060022,OROMIA,Arsii Lixaa,dodolaa,tulluu seerofta,"12/10/2025, 6:01:21 PM","12/10/2025, 10:27:20 AM","12/10/2025, 6:29:22 PM",12/10/2025,6cd4eced41301dbb,1,S24205,NA,1,16,4,1,8,1 2 7,1,1,0,0,0,0,1,0,NA,6,2,1 2,1,1,0,NA,5,5,4,5,5,5,4,4,4,4,2,4,4,5,5,4,3,4,4,5,1,1,0,0,0,4,4,5,4,4,4,4,5,4,4,3,5,5,5,2,0,1,0,0,0,0,0,NA,1,1,5,5,1,5,1,1,7,0,0,0,0,0,0,1,0,0,NA,NA,5,5,2,4,1,5,5,3,4,2,4,1,4,2,3,0,0,NA,1,1,1,1,1,0,0,0,0,1,3,0,2,1,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,3,uuid:65462990-b36f-4bf9-94f5-d6e17fb878f7,2512040815,uuid:65462990-b36f-4bf9-94f5-d6e17fb878f7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82362,S0401060022,OROMIA,Arsii Lixaa,dodolaa,tulluu seerofta,"12/10/2025, 6:01:21 PM","12/10/2025, 10:51:40 AM","12/10/2025, 6:30:39 PM",12/10/2025,6cd4eced41301dbb,1,S24206,NA,1,16,4,1,5,1 2 7,1,1,0,0,0,0,1,0,NA,12,2,1 2,1,1,0,NA,5,5,4,4,4,5,5,5,5,5,1,4,4,4,4,4,1,4,4,5,1,1,0,0,0,4,5,5,4,5,5,5,5,5,5,5,5,5,5,1,1,0,0,0,0,0,0,NA,1,1,5,5,1,5,1,1,3,0,0,1,0,0,0,0,0,0,NA,NA,5,4,1,5,1,5,5,3,5,1,4,1,4,1,3,1,1,NA,1,1,1,1,1,1,0,0,0,1,5,0,3,1,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,uuid:78fcc551-fece-4374-bceb-d69bc0e928e2,2512040815,uuid:78fcc551-fece-4374-bceb-d69bc0e928e2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
