code,emis_code,region,zone,woreda,school_name,rural,SubmissionDate,starttime,endtime,surveyday,deviceid,consent,respondent_code,note_no_consent,sex,A2,A2_1,A2_2,A2_3,A2_4,A2_5,A2_6,A2_7,A2_8,A2_9,A3,A3_1,A3_2,A3_3,A3_97,A3_other,A4,A4_other,A5,A5_other,A6,A6_other,A7,A8,A9,A10,A11,A12,B1,B1_1,B1_2,B1_3,B1_4,B1_5,B1_97,B1_98,B1_other,B2,B2_other,B3,B3_1,B3_2,B3_3,B3_4,B3_5,B3_6,B3_97,B3_other,B4,B5,B5_1,B5_2,B5_3,B5_4,B5_5,B5_97,B5_other,B6,B6_1,B6_2,B6_3,B6_4,B6_5,B6_6,B6_7,B6_8,B6_9,B6_97,B6_other,B7,B7_1,B7_2,B7_3,B7_4,B7_5,B7_6,B7_7,B7_8,B7_97,B7_98,B7_other,B8,B8_1,B8_2,B8_3,B8_4,B8_5,B8_6,B8_7,B8_8,B8_97,B8_98,B8_other,C1_1,C1_2,C1_3,C1_4,C2_1,C2_2,C2_3,C2_4,C3,C3_1,C3_2,C3_3,C3_4,C3_5,C3_6,C3_7,C3_8,C3_9,C3_10,C3_11,C3_12,C3_0,C3_other,C4,C5,C5_other,C6,C6_1,C6_2,C6_3,C6_4,C6_5,C6_6,C6_7,C6_8,C6_9,C6_10,C6_11,C6_97,C6_98,C6_other,C7_1,C7_2,C7_3,C7_4,C7_5,C7_6,C8_1,C8_2,C8_3,C8_4,C9_1,C9_2,C9_3,C9_4,C9_5,C9_6,C10_1,C10_2,C10_3,C11,C11_1,C11_2,C11_3,C11_4,C11_5,C11_6,C11_97,C11_98,C11_other,D1_1,D1_2,D1_3,D1_4,D1_5,D1_6,D2_1,D2_2,D2_3,D2_4,D2_5,D3,D3_other,D5_1,D5_2,D5_3,D5_4,D5_5,D6,D6_1,D6_2,D6_3,D6_4,D6_97,D6_other,D7,D7_other,E1_1,E1_2,E1_3,E1_4,E1_5,E1_6,E1_7,E1_8,E1_9,E1_10,E1_97,E1_other,E2_1,E2_2,E2_3,E2_4,E2_5,E2_6,E2_7,E3_1,E3_2,E3_3,E3_4,E3_5,E3_6,E3_7,E3_8,E3_9,E3_10,E3_11,E4,E4_1,E4_2,E4_3,E4_4,E4_5,E4_6,E4_7,E4_8,E4_9,E4_10,E4_11,E5_1,E5_2,E5_3,E5_4,E5_5,E5_6,E5_7,E6,E7,E8,F1,F2_1,F2_2,F2_3,F2_4,F2_5,F2_6,F3_1,F3_2,F3_3,F3_4,F3_5,F4,F4_1,F4_2,F4_3,F4_4,F4_5,F4_6,F4_97,F4_other,F5,F6_1,F6_2,F6_3,F6_4,F6_5,F6_6,F6_7,F6_8,F7,G1,G1_1,G1_2,G1_3,G1_4,G1_5,G1_6,G1_7,G1_8,G1_97,G1_other,G2a,G2b,G3,G4,instanceID,formdef_version,KEY,consentgroup[1]/SectionC[1]/C6[1]/C6_1,consentgroup[1]/SectionC[1]/C6[1]/C6_2,consentgroup[1]/SectionC[1]/C6[1]/C6_3,consentgroup[1]/SectionC[1]/C6[1]/C6_4,consentgroup[1]/SectionC[1]/C6[1]/C6_5,consentgroup[1]/SectionC[1]/C6[1]/C6_6,consentgroup[1]/SectionC[1]/C8[1]/C8_5,consentgroup[1]/SectionC[1]/C8[1]/C8_6,consentgroup[1]/SectionC[1]/C10,consentgroup[1]/SectionD[1]/D4
1304846,New,SWEPR,Dawro,gussa city admin,okoto shasha,Urban,"12/20/2025, 11:24:45 PM","12/20/2025, 5:20:04 AM","12/20/2025, 5:27:05 PM",12/20/2025,9103e136556fc552,1,T29601,NA,female,4 5 6,0,0,0,1,1,1,0,0,0,97,0,0,0,1,Environment Science,4,NA,3,NA,1,NA,2008,2014,3,0,NA,NA,1,1,0,0,0,0,0,0,NA,1,NA,6,0,0,0,0,0,1,0,NA,1,1 3,1,0,1,0,0,0,NA,1 2 3 4 5 97,1,1,1,1,1,0,0,0,0,1,Increase well behave students,2 6,0,1,0,0,0,1,0,0,0,0,NA,3 4,0,0,1,1,0,0,0,0,0,0,NA,4,4,3,1,4,1,4,1,4 8 9,0,0,0,1,0,0,0,1,1,0,0,0,0,NA,4,2,NA,1 2 3 4 5 6 7 8 9 10 11,1,1,1,1,1,1,1,1,1,1,1,0,0,NA,4,4,4,3,4,4,4,3,3,4,4,5,4,5,5,5,1,1,1,2 5,0,1,0,0,1,0,0,0,NA,4,3,1,4,1,2,3,4,1,4,2,3,NA,4,4,4,1,4,1 2 3,1,1,1,0,0,NA,3,NA,1,1,0,1,0,1,1,1,1,0,1,"Poor infrastructure, no road access to the school",1,1,1,1,4,1,1,3,2,2,2,2,2,3,1,3,3,3,1 6,1,0,0,0,0,1,0,0,0,0,0,4,1,4,4,1,4,1,2,2,2,9,1,3,4,3,4,3,4,4,4,4,4,1 2 4 97,1,1,0,1,0,0,1,Opportunity to get a bachelor's degree,1,1,2,3,1,3,1,1,1,No,1 7,1,0,0,0,0,0,1,0,0,NA,28,NA,11122,"Very, very poor infrastructure, this is the main challenge, lack of school building",uuid:d0d302e9-7e50-42fe-94bf-439813952678,2512142209,uuid:d0d302e9-7e50-42fe-94bf-439813952678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1304846,New,SWEPR,Dawro,gussa city admin,okoto shasha,Urban,"12/20/2025, 11:24:46 PM","12/20/2025, 5:58:10 AM","12/20/2025, 5:27:29 PM",12/20/2025,9103e136556fc552,1,T29603,NA,male,1 2 3,1,1,1,0,0,0,0,0,0,1,1,0,0,0,NA,3,NA,3,NA,1,NA,2011,2015,3,0,NA,NA,1,1,0,0,0,0,0,0,NA,1,NA,6,0,0,0,0,0,1,0,NA,1,1 3,1,0,1,0,0,0,NA,1 2 4 6,1,1,0,1,0,1,0,0,0,0,NA,2 4,0,1,0,1,0,0,0,0,0,0,NA,1 4,1,0,0,1,0,0,0,0,0,0,NA,4,4,2,2,4,1,3,1,8 9,0,0,0,0,0,0,0,1,1,0,0,0,0,NA,4,2,NA,1 2 3 4 5 6 7 8 9 10 11,1,1,1,1,1,1,1,1,1,1,1,0,0,NA,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,2,1,1,2 5,0,1,0,0,1,0,0,0,NA,4,4,1,4,2,3,5,4,1,5,2,97,Based on the students choices,4,4,4,1,4,1 2,1,1,0,0,0,NA,2,NA,1,1,0,1,0,1,1,1,1,0,0,NA,1,2,1,1,4,1,1,3,3,3,3,3,3,3,3,3,3,3,3 4,0,0,1,1,0,0,0,0,0,0,0,4,1,4,4,1,4,1,3,3,2,6,1,4,4,4,4,1,4,4,4,4,4,1 2 4,1,1,0,1,0,0,0,NA,1,1,1,3,1,3,1,1,1,No,1 2,1,1,0,0,0,0,0,0,0,NA,30,NA,10438,Very poor infrastructure and the safety of the students and teachers is not good,uuid:6590320e-b464-40c3-8c93-e329e57ad007,2512142209,uuid:6590320e-b464-40c3-8c93-e329e57ad007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1304846,New,SWEPR,Dawro,gussa city admin,okoto shasha,Urban,"12/21/2025, 6:11:05 PM","12/20/2025, 11:51:46 AM","12/21/2025, 6:10:41 PM",12/20/2025,7b083c6dbffcaebb,1,T29602,NA,male,4 5 6,0,0,0,1,1,1,0,0,0,2 97,0,1,0,1,Moral education,4,NA,5,NA,1,NA,2001,2013,6,0,NA,NA,1,1,0,0,0,0,0,0,NA,1,NA,6,0,0,0,0,0,1,0,NA,1,3,0,0,1,0,0,0,NA,1 3 4,1,0,1,1,0,0,0,0,0,0,NA,5 7,0,0,0,0,1,0,1,0,0,0,NA,2 4,0,1,0,1,0,0,0,0,0,0,NA,3,3,2,2,2,2,3,3,4 8 9,0,0,0,1,0,0,0,1,1,0,0,0,0,NA,1,3,NA,1 2 3 4 5 6 7 8 9 10 11,1,1,1,1,1,1,1,1,1,1,1,0,0,NA,3,3,3,3,2,2,4,3,4,4,5,4,4,5,5,5,1,1,1,2 5,0,1,0,0,1,0,0,0,NA,4,4,4,4,1,4,5,5,1,5,2,3,NA,4,4,4,1,4,2 4,0,1,0,1,0,NA,3,NA,1,1,0,1,1,1,1,1,1,1,0,NA,1,3,1,1,4,1,1,1,1,3,3,3,3,3,3,3,3,3,5 9,0,0,0,0,1,0,0,0,1,0,0,4,3,3,3,4,3,4,1,1,1,8,4,3,4,4,4,3,4,4,4,4,4,1 2 3 4,1,1,1,1,0,0,0,NA,1,1,1,3,1,1,1,1,1,No,3 7,0,0,1,0,0,0,1,0,0,NA,35,NA,13817,No additional comment,uuid:d17e79ad-47dc-4ff3-969f-0997cb07ba51,2512142209,uuid:d17e79ad-47dc-4ff3-969f-0997cb07ba51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82362,S0401060022,OROMIA,Arsii Lixaa,dodolaa,tulluu seerofta,Rural,"12/10/2025, 6:01:22 PM","12/10/2025, 12:18:25 PM","12/10/2025, 6:09:07 PM",12/10/2025,6cd4eced41301dbb,1,S24202,NA,female,1 2,1,1,0,0,0,0,0,0,0,3,0,0,1,0,NA,3,NA,3,NA,0,NA,2012,2012,1,1,2,2,5,0,0,0,0,1,0,0,NA,1,NA,2 3 6,0,1,1,0,0,1,0,NA,1,2 3,0,1,1,0,0,0,NA,3 4 7,0,0,1,1,0,0,1,0,0,0,NA,5 8,0,0,0,0,1,0,0,1,0,0,NA,2 8,0,1,0,0,0,0,0,1,0,0,NA,4,2,1,3,1,1,1,2,7 9,0,0,0,0,0,0,1,0,1,0,0,0,0,NA,4,2,NA,3 5,0,0,1,0,1,0,0,0,0,0,0,0,0,NA,4,3,3,3,4,4,3,3,4,4,5,5,4,5,5,4,2,1,1,2 5,0,1,0,0,1,0,0,0,NA,4,4,2,4,3,2,4,2,2,3,2,4,NA,3,2,1,1,2,2 3,0,1,1,0,0,NA,2,NA,0,0,0,1,1,0,0,1,1,0,0,NA,2,1,1,1,3,1,1,3,2,3,3,3,2,3,3,3,3,3,1 2,1,1,0,0,0,0,0,0,0,0,0,1,1,1,3,1,4,1,3,3,1,10,1,4,2,4,3,3,4,4,2,3,4,4,0,0,0,1,0,0,0,NA,1,2,3,3,2,2,3,2,2,Hin jiru,4,0,0,0,1,0,0,0,0,0,NA,31,NA,9450,Hin jiru,uuid:8dd1962b-8605-4534-860c-97c1da3fb225,2512040829,uuid:8dd1962b-8605-4534-860c-97c1da3fb225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82362,S0401060022,OROMIA,Arsii Lixaa,dodolaa,tulluu seerofta,Rural,"12/10/2025, 6:46:21 PM","12/10/2025, 12:29:56 PM","12/10/2025, 5:49:36 PM",12/10/2025,78b63b5b10d7e676,1,T24202,NA,male,1 2,1,1,0,0,0,0,0,0,0,3,0,0,1,0,NA,3,NA,2,NA,1,NA,2008,2017,3,1,1,2,5,0,0,0,0,1,0,0,NA,1,NA,6,0,0,0,0,0,1,0,NA,1,2,0,1,0,0,0,0,NA,4 5,0,0,0,1,1,0,0,0,0,0,NA,4 8,0,0,0,1,0,0,0,1,0,0,NA,4 8,0,0,0,1,0,0,0,1,0,0,NA,2,3,3,3,1,1,2,1,3 5 6 7,0,0,1,0,1,1,1,0,0,0,0,0,0,NA,4,3,NA,2 3 4 5,0,1,1,1,1,0,0,0,0,0,0,0,0,NA,3,3,4,3,4,4,4,3,3,4,5,5,5,5,5,5,1,1,1,5,0,0,0,0,1,0,0,0,NA,3,3,3,3,2,2,2,2,2,5,3,2,NA,3,3,2,2,2,1 2,1,1,0,0,0,NA,3,NA,1,0,1,0,0,1,0,1,1,0,0,NA,1,1,1,1,4,1,1,3,3,3,3,3,3,3,3,3,3,3,1 4,1,0,0,1,0,0,0,0,0,0,0,1,1,1,3,3,3,1,3,3,1,10,1,2,4,3,3,2,4,3,4,3,4,5,0,0,0,0,1,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,0,0,1,0,0,0,0,0,NA,32,NA,10633,Degarrsa dhabbu,uuid:94310adb-0a5e-4614-b2e9-812b6badc300,2512040829,uuid:94310adb-0a5e-4614-b2e9-812b6badc300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82362,S0401060022,OROMIA,Arsii Lixaa,dodolaa,tulluu seerofta,Rural,"12/10/2025, 6:46:23 PM","12/10/2025, 11:52:18 AM","12/10/2025, 5:49:45 PM",12/10/2025,78b63b5b10d7e676,1,T24201,NA,male,6 7,0,0,0,0,0,1,1,0,0,3,0,0,1,0,NA,3,NA,2,NA,1,NA,2011,2011,1,1,1,2,5,0,0,0,0,1,0,0,NA,1,NA,5 6,0,0,0,0,1,1,0,NA,1,2,0,1,0,0,0,0,NA,2 4 5,0,1,0,1,1,0,0,0,0,0,NA,5 8,0,0,0,0,1,0,0,1,0,0,NA,2 8,0,1,0,0,0,0,0,1,0,0,NA,3,4,3,3,2,3,2,3,3 4 5 7,0,0,1,1,1,0,1,0,0,0,0,0,0,NA,4,3,NA,2 3 9,0,1,1,0,0,0,0,0,1,0,0,0,0,NA,3,3,4,3,4,3,4,3,3,4,4,4,4,4,4,4,2,1,1,5,0,0,0,0,1,0,0,0,NA,4,3,4,4,3,3,4,3,2,3,3,2,NA,3,3,2,2,3,2,0,1,0,0,0,NA,3,NA,0,0,0,1,0,1,1,1,0,0,0,NA,1,1,1,1,4,3,3,3,3,3,3,3,2,3,3,3,3,3,1 4,1,0,0,1,0,0,0,0,0,0,0,1,3,1,3,3,3,1,3,2,1,8,3,2,3,4,3,2,4,4,4,4,4,2,0,1,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,0,0,1,0,0,0,0,0,NA,26,NA,10200,Hin jiru,uuid:5cbfacc3-c03c-4130-a43e-5939627b6a08,2512040829,uuid:5cbfacc3-c03c-4130-a43e-5939627b6a08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82870,S0401110142,OROMIA,Arsii Lixaa,nansaboo,amshiiqqaa qurxummii,Rural,"12/9/2025, 5:37:14 PM","12/9/2025, 8:55:28 AM","12/9/2025, 5:31:37 PM",12/9/2025,be940800bcbddadd,1,T20201,NA,male,6 8,0,0,0,0,0,1,0,1,0,1,1,0,0,0,NA,4,NA,2,NA,1,NA,2010,2015,4,0,NA,NA,5,0,0,0,0,1,0,0,NA,1,NA,2 6,0,1,0,0,0,1,0,NA,1,1,1,0,0,0,0,0,NA,2 4 5,0,1,0,1,1,0,0,0,0,0,NA,2 5,0,1,0,0,1,0,0,0,0,0,NA,4 5,0,0,0,1,1,0,0,0,0,0,NA,3,3,2,3,2,1,1,1,2 4 7 8 10,0,1,0,1,0,0,1,1,0,1,0,0,0,NA,4,3,NA,2 3 5,0,1,1,0,1,0,0,0,0,0,0,0,0,NA,3,3,3,3,3,3,4,3,3,4,5,5,4,5,4,4,1,1,1,2 5,0,1,0,0,1,0,0,0,NA,2,3,4,4,3,2,4,3,3,4,3,2,NA,3,2,2,2,3,1 2 3,1,1,1,0,0,NA,2,NA,0,0,0,0,0,1,0,1,1,0,0,NA,1,1,1,2,4,1,1,2,3,3,3,3,2,3,3,3,3,3,4 11,0,0,0,1,0,0,0,0,0,0,1,2,1,3,3,1,2,3,3,3,1,10,2,2,4,3,4,2,4,4,3,4,4,2 4,0,1,0,1,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4 5,0,0,0,1,1,0,0,0,0,NA,27,NA,10437,None,uuid:e6bb920c-4d1b-4cb4-a834-c72c5d62ebe2,2512030649,uuid:e6bb920c-4d1b-4cb4-a834-c72c5d62ebe2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82870,S0401110142,OROMIA,Arsii Lixaa,nansaboo,amshiiqqaa qurxummii,Rural,"12/9/2025, 5:39:56 PM","12/9/2025, 9:59:50 AM","12/9/2025, 5:31:52 PM",12/9/2025,be940800bcbddadd,1,T20202,NA,male,2 3,0,1,1,0,0,0,0,0,0,1,1,0,0,0,NA,1,NA,2,NA,1,NA,2013,2017,4,0,NA,NA,5,0,0,0,0,1,0,0,NA,1,NA,2 6,0,1,0,0,0,1,0,NA,1,1,1,0,0,0,0,0,NA,2 3 4 5,0,1,1,1,1,0,0,0,0,0,NA,2 4,0,1,0,1,0,0,0,0,0,0,NA,2 4,0,1,0,1,0,0,0,0,0,0,NA,4,4,3,4,3,3,3,2,3 5 9,0,0,1,0,1,0,0,0,1,0,0,0,0,NA,4,3,NA,2 4 5,0,1,0,1,1,0,0,0,0,0,0,0,0,NA,3,2,3,3,4,4,4,3,3,3,4,4,4,4,5,4,2,2,1,5,0,0,0,0,1,0,0,0,NA,2,4,2,4,4,3,2,2,3,5,3,1,NA,4,3,3,2,2,2 3,0,1,1,0,0,NA,4,NA,0,0,0,0,0,0,0,0,1,0,0,NA,1,1,1,1,4,1,1,3,2,3,3,3,2,3,3,3,3,3,1 4,1,0,0,1,0,0,0,0,0,0,0,1,1,2,1,1,3,1,3,3,1,8,1,2,4,4,4,3,4,4,3,4,4,2,0,1,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,0,0,1,0,0,0,0,0,NA,27,NA,9929,Hin jiru,uuid:09647757-3c47-4352-b3de-b13a7b015f5c,2512030649,uuid:09647757-3c47-4352-b3de-b13a7b015f5c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82870,S0401110142,OROMIA,Arsii Lixaa,nansaboo,amshiiqqaa qurxummii,Rural,"12/9/2025, 6:48:40 PM","12/9/2025, 9:59:57 AM","12/9/2025, 11:20:00 AM",12/9/2025,6cd4eced41301dbb,1,T20203,NA,male,2 3,0,1,1,0,0,0,0,0,0,3,0,0,1,0,NA,4,NA,5,NA,1,NA,2006,2011,3,1,2,2,1 5,1,0,0,0,1,0,0,NA,1,NA,2 6,0,1,0,0,0,1,0,NA,1,1,1,0,0,0,0,0,NA,3 4,0,0,1,1,0,0,0,0,0,0,NA,2 4,0,1,0,1,0,0,0,0,0,0,NA,2 6,0,1,0,0,0,1,0,0,0,0,NA,2,2,2,2,1,1,1,1,6 8 9,0,0,0,0,0,1,0,1,1,0,0,0,0,NA,4,2,NA,3 5 9,0,0,1,0,1,0,0,0,1,0,0,0,0,NA,4,4,4,3,3,3,4,3,3,3,5,3,4,5,3,3,2,1,1,2 5,0,1,0,0,1,0,0,0,NA,2,3,4,4,2,2,2,1,2,4,1,4,NA,3,3,3,1,3,2 3,0,1,1,0,0,NA,3,NA,0,0,0,1,1,1,0,1,1,0,0,NA,1,1,1,1,4,1,1,3,2,2,3,3,2,2,2,3,3,3,1 5,1,0,0,0,1,0,0,0,0,0,0,1,1,1,3,3,3,2,2,1,1,10,1,3,3,3,3,2,4,4,2,4,4,4,0,0,0,1,0,0,0,NA,1,3,3,3,1,2,3,3,2,Hin jiru,4 5,0,0,0,1,1,0,0,0,0,NA,30,NA,12066,Hanqina kitaabaa fi meeshaalee barnootaaf ta'u dhabamuu qulqullinna ijaarsa mana barumsaa fi hanqinna kafaltii mindaa barsiisotaa,uuid:237633e2-494c-47e9-8e4a-3f323f885af9,2512040829,uuid:237633e2-494c-47e9-8e4a-3f323f885af9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82926,S0401110232,OROMIA,Arsii Lixaa,nansaboo,tulluu leencaa,Rural,"12/8/2025, 6:38:52 PM","12/8/2025, 11:05:33 AM","12/8/2025, 11:49:31 AM",12/8/2025,6cd4eced41301dbb,1,T20302,NA,male,1 2 3,1,1,1,0,0,0,0,0,0,3,0,0,1,0,NA,5,NA,5,NA,1,NA,2002,2010,3,0,NA,NA,2 5,0,1,0,0,1,0,0,NA,1,NA,2 6,0,1,0,0,0,1,0,NA,1,2 3 4,0,1,1,1,0,0,NA,3 4,0,0,1,1,0,0,0,0,0,0,NA,4 5,0,0,0,1,1,0,0,0,0,0,NA,2 4,0,1,0,1,0,0,0,0,0,0,NA,3,3,2,2,1,2,2,1,6 9,0,0,0,0,0,1,0,0,1,0,0,0,0,NA,4,2,NA,5 9,0,0,0,0,1,0,0,0,1,0,0,0,0,NA,4,3,3,3,3,4,3,2,3,3,5,4,4,4,4,3,2,1,1,5,0,0,0,0,1,0,0,0,NA,4,4,2,4,2,3,3,1,1,2,1,4,NA,3,3,4,1,2,2 3,0,1,1,0,0,NA,3,NA,0,0,0,1,1,0,0,1,1,0,0,NA,2,2,1,1,3,1,1,1,2,2,2,3,2,2,3,3,3,2,5 8,0,0,0,0,1,0,0,1,0,0,0,3,1,4,3,1,4,2,3,1,1,7,3,3,1,4,3,1,4,4,3,4,4,6,0,0,0,0,0,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,0,0,1,0,0,0,0,0,NA,36,NA,14368,Lack of Technology like computer class,uuid:7fe3b88c-cfd6-4d7c-9ef8-1f515bdc6cf5,2512040829,uuid:7fe3b88c-cfd6-4d7c-9ef8-1f515bdc6cf5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
